customer_id,region,segment,signup_month
C0001,华北,老客,2025-07
C0002,华东,新客,2025-09
C0003,华东,高价值,2025-10
C0004,华东,老客,2025-01
C0005,华东,沉睡,2025-07
C0006,华东,老客,2025-02
C0007,东北,沉睡,2025-01
C0008,东北,新客,2025-04
C0009,东北,新客,2025-10
C0010,东北,沉睡,2025-01
C0011,华南,新客,2025-09
C0012,华南,高价值,2025-07
C0013,华南,新客,2025-10
C0014,华北,老客,2025-02
C0015,东北,老客,2025-06
C0016,华东,新客,2025-10
C0017,华东,老客,2025-08
C0018,东北,沉睡,2025-06
C0019,西南,沉睡,2025-06
C0020,华北,老客,2025-03
C0021,华南,新客,2025-10
C0022,华北,沉睡,2025-06
C0023,西南,高价值,2025-10
C0024,华东,新客,2025-09
C0025,西南,老客,2025-06
C0026,华南,沉睡,2025-07
C0027,华东,新客,2025-09
C0028,东北,高价值,2025-06
C0029,华北,沉睡,2025-10
C0030,西南,新客,2025-02
C0031,华北,沉睡,2025-12
C0032,华东,新客,2025-12
C0033,华北,沉睡,2025-05
C0034,西南,高价值,2025-01
C0035,西南,高价值,2025-03
C0036,东北,新客,2025-08
C0037,华东,老客,2025-05
C0038,华南,老客,2025-07
C0039,西南,沉睡,2025-02
C0040,华南,沉睡,2025-07
C0041,东北,高价值,2025-03
C0042,西南,高价值,2025-12
C0043,西南,高价值,2025-11
C0044,西南,老客,2025-03
C0045,华东,老客,2025-03
C0046,华南,老客,2025-01
C0047,西南,老客,2025-05
C0048,华北,新客,2025-03
C0049,西南,高价值,2025-10
C0050,东北,高价值,2025-03
C0051,东北,新客,2025-08
C0052,东北,沉睡,2025-07
C0053,西南,沉睡,2025-02
C0054,西南,沉睡,2025-01
C0055,华南,新客,2025-04
C0056,西南,老客,2025-02
C0057,华北,新客,2025-02
C0058,华东,老客,2025-09
C0059,华东,高价值,2025-10
C0060,华东,新客,2025-04
C0061,东北,沉睡,2025-03
C0062,华北,高价值,2025-10
C0063,华北,沉睡,2025-02
C0064,华东,沉睡,2025-08
C0065,西南,沉睡,2025-05
C0066,华东,老客,2025-02
C0067,华北,高价值,2025-08
C0068,华南,新客,2025-04
C0069,东北,高价值,2025-03
C0070,东北,新客,2025-09
C0071,华北,新客,2025-12
C0072,华北,高价值,2025-03
C0073,华北,老客,2025-09
C0074,东北,高价值,2025-11
C0075,华南,老客,2025-04
C0076,西南,老客,2025-04
C0077,东北,沉睡,2025-06
C0078,华东,新客,2025-05
C0079,西南,高价值,2025-04
C0080,东北,高价值,2025-08
C0081,华北,高价值,2025-02
C0082,华南,新客,2025-04
C0083,西南,老客,2025-06
C0084,华南,沉睡,2025-10
C0085,东北,新客,2025-08
C0086,华北,新客,2025-11
C0087,华东,沉睡,2025-12
C0088,华南,沉睡,2025-03
C0089,西南,高价值,2025-02
C0090,西南,沉睡,2025-07
C0091,华东,老客,2025-03
C0092,华南,新客,2025-03
C0093,东北,沉睡,2025-11
C0094,华南,沉睡,2025-11
C0095,华北,老客,2025-09
C0096,东北,老客,2025-01
C0097,华东,新客,2025-09
C0098,华南,沉睡,2025-04
C0099,华南,新客,2025-05
C0100,华南,高价值,2025-09
C0101,华南,高价值,2025-05
C0102,东北,沉睡,2025-03
C0103,华东,高价值,2025-08
C0104,东北,沉睡,2025-09
C0105,华南,老客,2025-09
C0106,东北,新客,2025-08
C0107,华南,新客,2025-03
C0108,华南,老客,2025-08
C0109,东北,新客,2025-09
C0110,华东,高价值,2025-11
C0111,东北,沉睡,2025-02
C0112,东北,新客,2025-04
C0113,华南,高价值,2025-01
C0114,华东,沉睡,2025-09
C0115,华东,新客,2025-08
C0116,华北,老客,2025-12
C0117,华北,沉睡,2025-09
C0118,东北,沉睡,2025-09
C0119,华南,高价值,2025-09
C0120,华南,沉睡,2025-03
