month,product_id,warehouse,stock_begin,stock_end,stockout_days
2026-01,P001,成都仓,729,242,8
2026-01,P002,广州仓,448,232,9
2026-01,P003,广州仓,387,340,3
2026-01,P004,上海仓,510,50,3
2026-01,P005,上海仓,290,567,8
2026-01,P006,上海仓,851,282,1
2026-01,P007,北京仓,183,237,9
2026-01,P008,上海仓,352,90,6
2026-02,P001,上海仓,367,360,9
2026-02,P002,上海仓,607,465,5
2026-02,P003,广州仓,93,626,3
2026-02,P004,广州仓,309,144,3
2026-02,P005,上海仓,353,639,8
2026-02,P006,北京仓,771,433,6
2026-02,P007,上海仓,148,650,6
2026-02,P008,上海仓,844,316,8
2026-03,P001,广州仓,518,412,0
2026-03,P002,上海仓,135,477,9
2026-03,P003,成都仓,244,420,5
2026-03,P004,广州仓,447,418,4
2026-03,P005,广州仓,246,201,2
2026-03,P006,广州仓,193,642,1
2026-03,P007,广州仓,396,554,9
2026-03,P008,上海仓,653,548,6
2026-04,P001,成都仓,636,808,0
2026-04,P002,上海仓,321,472,2
2026-04,P003,广州仓,854,45,3
2026-04,P004,北京仓,327,832,1
2026-04,P005,成都仓,683,436,6
2026-04,P006,北京仓,567,823,0
2026-04,P007,广州仓,766,90,7
2026-04,P008,广州仓,118,658,2
2026-05,P001,广州仓,151,306,1
2026-05,P002,北京仓,852,130,5
2026-05,P003,上海仓,513,812,4
2026-05,P004,上海仓,604,837,7
2026-05,P005,广州仓,782,198,2
2026-05,P006,北京仓,522,372,1
2026-05,P007,成都仓,249,641,0
2026-05,P008,成都仓,205,792,2
2026-06,P001,上海仓,371,559,0
2026-06,P002,北京仓,128,144,8
2026-06,P003,广州仓,602,454,2
2026-06,P004,广州仓,765,254,6
2026-06,P005,北京仓,757,504,1
2026-06,P006,广州仓,558,43,3
2026-06,P007,成都仓,183,243,6
2026-06,P008,上海仓,629,743,4
