month,region,channel,campaign_spend,leads,new_customers
2026-01,华东,线上,35670,310,181
2026-01,华东,门店,54457,1663,65
2026-01,华东,经销商,47124,378,97
2026-01,华东,直播,10496,292,34
2026-01,华南,线上,18515,374,29
2026-01,华南,门店,9428,791,201
2026-01,华南,经销商,53510,1410,63
2026-01,华南,直播,15362,1068,61
2026-01,华北,线上,15019,490,70
2026-01,华北,门店,47928,853,192
2026-01,华北,经销商,20978,858,50
2026-01,华北,直播,36472,786,120
2026-01,西南,线上,34805,638,134
2026-01,西南,门店,23246,1109,26
2026-01,西南,经销商,52124,1565,250
2026-01,西南,直播,19475,459,66
2026-01,东北,线上,17977,1745,109
2026-01,东北,门店,49027,1629,187
2026-01,东北,经销商,11862,1032,155
2026-01,东北,直播,48776,1514,251
2026-02,华东,线上,10199,1723,132
2026-02,华东,门店,43869,1739,246
2026-02,华东,经销商,45728,148,135
2026-02,华东,直播,36769,167,173
2026-02,华南,线上,49505,810,189
2026-02,华南,门店,33947,1167,57
2026-02,华南,经销商,11153,1730,163
2026-02,华南,直播,41851,411,147
2026-02,华北,线上,19471,1529,118
2026-02,华北,门店,18264,1534,185
2026-02,华北,经销商,8301,1144,225
2026-02,华北,直播,59509,1557,151
2026-02,西南,线上,8367,1754,112
2026-02,西南,门店,35138,1565,191
2026-02,西南,经销商,20389,1287,117
2026-02,西南,直播,55735,1477,124
2026-02,东北,线上,29873,1102,168
2026-02,东北,门店,48317,450,100
2026-02,东北,经销商,32680,510,88
2026-02,东北,直播,21825,1742,190
2026-03,华东,线上,59651,1378,230
2026-03,华东,门店,8280,1307,196
2026-03,华东,经销商,29384,771,184
2026-03,华东,直播,57647,1266,87
2026-03,华南,线上,48034,809,60
2026-03,华南,门店,45592,1238,145
2026-03,华南,经销商,26029,289,145
2026-03,华南,直播,57607,215,58
2026-03,华北,线上,36055,1678,41
2026-03,华北,门店,45573,968,252
2026-03,华北,经销商,27273,1321,149
2026-03,华北,直播,36002,1563,258
2026-03,西南,线上,8286,298,170
2026-03,西南,门店,58926,393,46
2026-03,西南,经销商,32670,686,244
2026-03,西南,直播,15450,1361,243
2026-03,东北,线上,36532,1024,245
2026-03,东北,门店,55603,1777,85
2026-03,东北,经销商,13331,1615,134
2026-03,东北,直播,50515,874,44
2026-04,华东,线上,10338,1131,233
2026-04,华东,门店,55304,732,74
2026-04,华东,经销商,12262,1460,86
2026-04,华东,直播,26212,1721,114
2026-04,华南,线上,21480,1160,148
2026-04,华南,门店,42539,993,216
2026-04,华南,经销商,45470,1538,226
2026-04,华南,直播,50432,1673,91
2026-04,华北,线上,37898,1437,241
2026-04,华北,门店,28820,941,194
2026-04,华北,经销商,53702,1088,50
2026-04,华北,直播,11036,1654,234
2026-04,西南,线上,17495,1781,193
2026-04,西南,门店,27344,229,174
2026-04,西南,经销商,43451,1629,209
2026-04,西南,直播,16595,840,183
2026-04,东北,线上,32675,630,86
2026-04,东北,门店,41186,188,133
2026-04,东北,经销商,39320,172,42
2026-04,东北,直播,13360,1740,248
2026-05,华东,线上,10255,561,138
2026-05,华东,门店,47369,1080,244
2026-05,华东,经销商,55100,284,206
2026-05,华东,直播,27070,822,235
2026-05,华南,线上,47895,499,54
2026-05,华南,门店,50284,1788,214
2026-05,华南,经销商,15870,1441,67
2026-05,华南,直播,40777,653,106
2026-05,华北,线上,18763,455,252
2026-05,华北,门店,22622,1090,239
2026-05,华北,经销商,59502,578,84
2026-05,华北,直播,25010,244,76
2026-05,西南,线上,18556,1375,97
2026-05,西南,门店,58539,249,181
2026-05,西南,经销商,33108,1211,179
2026-05,西南,直播,37068,554,45
2026-05,东北,线上,35284,1081,226
2026-05,东北,门店,28496,1516,35
2026-05,东北,经销商,56806,905,79
2026-05,东北,直播,50767,1068,143
2026-06,华东,线上,42735,521,256
2026-06,华东,门店,24960,448,153
2026-06,华东,经销商,52818,365,161
2026-06,华东,直播,28857,949,247
2026-06,华南,线上,18993,400,250
2026-06,华南,门店,38820,1081,146
2026-06,华南,经销商,25553,1273,114
2026-06,华南,直播,14482,1254,147
2026-06,华北,线上,57930,1327,104
2026-06,华北,门店,18625,822,246
2026-06,华北,经销商,14248,873,117
2026-06,华北,直播,15355,407,147
2026-06,西南,线上,46160,698,104
2026-06,西南,门店,33233,1303,160
2026-06,西南,经销商,19679,762,217
2026-06,西南,直播,9878,770,72
2026-06,东北,线上,38035,373,92
2026-06,东北,门店,37835,1409,114
2026-06,东北,经销商,44898,1713,260
2026-06,东北,直播,52922,1544,112
