order_id,order_date,month,customer_id,product_id,region,channel,quantity,revenue,cost,gross_margin,discount_rate
O00001,2026-04-17,2026-04,C0051,P002,东北,直播,4,2908,1952.67,955.33,0
O00002,2026-01-19,2026-01,C0086,P004,华北,门店,3,5055,3771.12,1283.88,0
O00003,2026-06-14,2026-06,C0019,P006,西南,线上,3,996.36,565.83,430.53,0.08
O00004,2026-04-12,2026-04,C0021,P008,华南,直播,2,697.0,485.77,211.23,0.15
O00005,2026-03-28,2026-03,C0026,P007,华南,线上,3,2196,1511.53,684.47,0
O00006,2026-03-28,2026-03,C0057,P008,华北,经销商,1,823.65,538.19,285.46,0.05
O00007,2026-05-12,2026-05,C0015,P002,东北,线上,2,588,316.13,271.87,0
O00008,2026-02-16,2026-02,C0097,P005,华东,经销商,2,3234.72,2567.96,666.76,0.08
O00009,2026-04-14,2026-04,C0069,P003,东北,线上,5,5740.8,4250.3,1490.5,0.08
O00010,2026-03-13,2026-03,C0103,P001,华东,线上,2,1902,1024.69,877.31,0
O00011,2026-06-12,2026-06,C0103,P002,华东,线上,3,677.7,551.61,126.09,0.1
O00012,2026-03-09,2026-03,C0059,P002,华东,经销商,1,696.6,455.0,241.6,0.1
O00013,2026-06-09,2026-06,C0006,P003,华东,门店,5,7665,5822.19,1842.81,0
O00014,2026-03-09,2026-03,C0024,P001,华东,门店,2,1220.6,790.74,429.86,0.15
O00015,2026-03-16,2026-03,C0065,P008,西南,经销商,2,1204.6,906.89,297.71,0.05
O00016,2026-01-10,2026-01,C0003,P001,华东,门店,5,6040,3742.97,2297.03,0
O00017,2026-04-25,2026-04,C0085,P002,东北,直播,4,5240.32,3589.33,1650.99,0.08
O00018,2026-05-10,2026-05,C0089,P005,西南,门店,2,1045.0,567.1,477.9,0.05
O00019,2026-04-14,2026-04,C0007,P006,东北,经销商,2,218,143.09,74.91,0
O00020,2026-04-21,2026-04,C0008,P003,东北,经销商,1,1326.64,1063.15,263.49,0.08
O00021,2026-06-03,2026-06,C0089,P004,西南,经销商,3,474.72,263.76,210.96,0.08
O00022,2026-04-25,2026-04,C0034,P001,西南,线上,3,2033.1,1257.73,775.37,0.1
O00023,2026-03-21,2026-03,C0046,P004,华南,直播,2,155.8,94.45,61.35,0.05
O00024,2026-03-13,2026-03,C0032,P004,华东,线上,5,8345,4005.44,4339.56,0
O00025,2026-02-06,2026-02,C0076,P007,西南,门店,1,886,486.31,399.69,0
O00026,2026-01-22,2026-01,C0085,P003,东北,直播,5,4165.75,3016.11,1149.64,0.05
O00027,2026-02-08,2026-02,C0093,P005,东北,直播,5,6985,3244.18,3740.82,0
O00028,2026-06-29,2026-06,C0117,P003,华北,线上,5,7294.5,5167.73,2126.77,0.1
O00029,2026-06-25,2026-06,C0011,P004,华南,线上,1,165,108.94,56.06,0
O00030,2026-04-07,2026-04,C0072,P008,华北,门店,1,1365,896.33,468.67,0
O00031,2026-05-06,2026-05,C0001,P005,华北,线上,4,6852,4775.35,2076.65,0
O00032,2026-06-18,2026-06,C0096,P002,东北,门店,4,2384,1738.47,645.53,0
O00033,2026-02-22,2026-02,C0095,P004,华北,经销商,4,4014.88,2074.31,1940.57,0.08
O00034,2026-01-12,2026-01,C0010,P004,东北,经销商,5,1809.75,1016.89,792.86,0.05
O00035,2026-06-09,2026-06,C0002,P003,华东,线上,4,750.72,439.58,311.14,0.08
O00036,2026-06-27,2026-06,C0087,P004,华东,直播,4,2295.0,1675.23,619.77,0.15
O00037,2026-04-30,2026-04,C0099,P008,华南,线上,1,1204,665.63,538.37,0
O00038,2026-05-02,2026-05,C0038,P001,华南,直播,4,849.6,726.39,123.21,0.1
O00039,2026-03-10,2026-03,C0027,P007,华东,经销商,2,417.6,222.63,194.97,0.1
O00040,2026-04-03,2026-04,C0078,P003,华东,门店,5,3260,2223.65,1036.35,0
O00041,2026-05-08,2026-05,C0051,P008,东北,直播,1,405,309.21,95.79,0
O00042,2026-04-14,2026-04,C0094,P005,华南,线上,2,1770.8,1070.15,700.65,0.05
O00043,2026-03-26,2026-03,C0042,P001,西南,门店,3,4962.48,2640.98,2321.5,0.08
O00044,2026-01-04,2026-01,C0033,P005,华北,线上,3,587.88,369.82,218.06,0.08
O00045,2026-04-03,2026-04,C0097,P007,华东,经销商,3,507.3,258.22,249.08,0.05
O00046,2026-06-12,2026-06,C0032,P003,华东,经销商,3,2627.1,1617.56,1009.54,0.1
O00047,2026-04-20,2026-04,C0104,P001,东北,线上,4,4370.4,2511.2,1859.2,0.1
O00048,2026-01-13,2026-01,C0058,P007,华东,经销商,5,8105,5371.04,2733.96,0
O00049,2026-05-05,2026-05,C0117,P001,华北,经销商,5,1700,1029.9,670.1,0
O00050,2026-03-14,2026-03,C0033,P005,华北,直播,3,2323.05,1445.1,877.95,0.15
O00051,2026-05-23,2026-05,C0016,P007,华东,直播,2,2794,1326.61,1467.39,0
O00052,2026-05-21,2026-05,C0058,P004,华东,门店,3,4509.84,2897.33,1612.51,0.08
O00053,2026-03-04,2026-03,C0023,P002,西南,经销商,3,3654,2029.3,1624.7,0
O00054,2026-03-08,2026-03,C0114,P004,华东,门店,1,1485.8,930.78,555.02,0.08
O00055,2026-04-07,2026-04,C0044,P005,西南,经销商,1,1045.0,703.46,341.54,0.05
O00056,2026-02-02,2026-02,C0012,P004,华南,直播,3,1622.88,1026.51,596.37,0.08
O00057,2026-04-21,2026-04,C0109,P005,东北,直播,1,340,200.71,139.29,0
O00058,2026-05-31,2026-05,C0001,P008,华北,直播,1,792.9,645.16,147.74,0.1
O00059,2026-03-05,2026-03,C0029,P002,华北,线上,2,703.8,602.71,101.09,0.1
O00060,2026-06-29,2026-06,C0011,P008,华南,门店,5,8355,3763.52,4591.48,0
O00061,2026-03-01,2026-03,C0083,P001,西南,直播,3,872.1,546.95,325.15,0.15
O00062,2026-06-28,2026-06,C0013,P002,华南,门店,1,625.5,529.15,96.35,0.1
O00063,2026-04-10,2026-04,C0029,P005,华北,直播,5,410,257.22,152.78,0
O00064,2026-03-13,2026-03,C0083,P006,西南,门店,2,1895.4,1110.86,784.54,0.1
O00065,2026-01-08,2026-01,C0091,P007,华东,直播,3,579,297.64,281.36,0
O00066,2026-01-21,2026-01,C0030,P005,西南,经销商,4,3352,2053.67,1298.33,0
O00067,2026-04-18,2026-04,C0088,P006,华南,线上,4,1940,1383.28,556.72,0
O00068,2026-02-22,2026-02,C0026,P008,华南,门店,3,4944,2601.37,2342.63,0
O00069,2026-03-09,2026-03,C0014,P005,华北,门店,5,4927.5,2802.18,2125.32,0.1
O00070,2026-05-05,2026-05,C0117,P007,华北,线上,1,1298,979.0,319.0,0
O00071,2026-02-24,2026-02,C0077,P001,东北,门店,2,1860,1272.71,587.29,0
O00072,2026-04-11,2026-04,C0115,P008,华东,门店,3,4740,3693.34,1046.66,0
O00073,2026-03-26,2026-03,C0024,P004,华东,直播,5,7396.8,3702.62,3694.18,0.08
O00074,2026-04-06,2026-04,C0057,P006,华北,线上,2,606,288.35,317.65,0
O00075,2026-03-31,2026-03,C0114,P007,华东,经销商,1,1229,707.22,521.78,0
O00076,2026-04-21,2026-04,C0007,P002,东北,直播,4,1824.0,1207.11,616.89,0.05
O00077,2026-02-19,2026-02,C0047,P006,西南,直播,4,482.8,332.6,150.2,0.15
O00078,2026-01-11,2026-01,C0005,P007,华东,线上,4,832,444.97,387.03,0
O00079,2026-06-05,2026-06,C0047,P006,西南,经销商,3,2068.2,1067.15,1001.05,0.1
O00080,2026-03-12,2026-03,C0001,P005,华北,线上,5,7348.25,6590.44,757.81,0.15
O00081,2026-01-07,2026-01,C0014,P004,华北,直播,4,5685.6,4726.41,959.19,0.08
O00082,2026-03-06,2026-03,C0105,P007,华南,经销商,4,1291.68,716.56,575.12,0.08
O00083,2026-06-27,2026-06,C0078,P003,华东,线上,2,1426.9,904.29,522.61,0.05
O00084,2026-05-12,2026-05,C0051,P004,东北,线上,2,1078.24,552.44,525.8,0.08
O00085,2026-05-04,2026-05,C0021,P006,华南,线上,4,1180,634.15,545.85,0
O00086,2026-02-23,2026-02,C0054,P002,西南,门店,4,5641.44,3109.86,2531.58,0.08
O00087,2026-04-17,2026-04,C0080,P008,东北,线上,2,2899.8,2350.47,549.33,0.1
