store_id,store_name,region,city,store_type,primary_channel,open_date,floor_area_sqm,staff_count
ST0001,华东经营单元001,华东,华东城市02,旗舰店,门店,2024-12-03,470,29
ST0002,华北经营单元002,华北,华北城市03,社区店,直播,2024-09-09,93,46
ST0003,华南经营单元003,华南,华南城市04,旗舰店,直播,2024-03-26,584,26
ST0004,华中经营单元004,华中,华中城市05,标准店,直播,2023-02-06,368,25
ST0005,西南经营单元005,西南,西南城市06,旗舰店,电商,2024-04-25,271,5
ST0006,东北经营单元006,东北,东北城市07,社区店,企业采购,2025-01-09,639,20
ST0007,华东经营单元007,华东,华东城市08,社区店,经销商,2021-04-15,825,5
ST0008,华北经营单元008,华北,华北城市09,仓店一体,门店,2023-10-09,1124,31
ST0009,华南经营单元009,华南,华南城市10,仓店一体,门店,2022-11-19,1091,40
ST0010,华中经营单元010,华中,华中城市11,旗舰店,企业采购,2022-07-04,321,41
ST0011,西南经营单元011,西南,西南城市12,标准店,电商,2021-10-20,1122,36
ST0012,东北经营单元012,东北,东北城市01,社区店,电商,2021-04-18,861,37
ST0013,华东经营单元013,华东,华东城市02,仓店一体,门店,2021-03-17,690,13
ST0014,华北经营单元014,华北,华北城市03,社区店,直播,2025-01-26,1125,44
ST0015,华南经营单元015,华南,华南城市04,标准店,企业采购,2021-10-06,1034,18
ST0016,华中经营单元016,华中,华中城市05,旗舰店,经销商,2023-05-26,1144,45
ST0017,西南经营单元017,西南,西南城市06,社区店,门店,2021-07-26,797,40
ST0018,东北经营单元018,东北,东北城市07,仓店一体,门店,2023-08-05,314,14
ST0019,华东经营单元019,华东,华东城市08,旗舰店,电商,2022-11-12,728,14
ST0020,华北经营单元020,华北,华北城市09,标准店,经销商,2022-03-23,233,41
ST0021,华南经营单元021,华南,华南城市10,旗舰店,经销商,2022-05-13,228,14
ST0022,华中经营单元022,华中,华中城市11,旗舰店,企业采购,2021-06-29,470,7
ST0023,西南经营单元023,西南,西南城市12,旗舰店,门店,2022-05-03,336,33
ST0024,东北经营单元024,东北,东北城市01,标准店,电商,2022-07-28,425,13
ST0025,华东经营单元025,华东,华东城市02,社区店,电商,2021-05-09,251,30
ST0026,华北经营单元026,华北,华北城市03,仓店一体,门店,2025-01-26,236,23
ST0027,华南经营单元027,华南,华南城市04,旗舰店,门店,2023-12-17,328,25
ST0028,华中经营单元028,华中,华中城市05,标准店,直播,2022-04-30,432,15
ST0029,西南经营单元029,西南,西南城市06,仓店一体,经销商,2022-08-02,866,17
ST0030,东北经营单元030,东北,东北城市07,标准店,企业采购,2022-04-13,614,23
ST0031,华东经营单元031,华东,华东城市08,旗舰店,门店,2023-11-11,942,30
ST0032,华北经营单元032,华北,华北城市09,标准店,直播,2023-10-28,786,43
ST0033,华南经营单元033,华南,华南城市10,社区店,直播,2024-06-01,381,5
ST0034,华中经营单元034,华中,华中城市11,仓店一体,企业采购,2024-01-23,143,11
ST0035,西南经营单元035,西南,西南城市12,仓店一体,经销商,2024-09-15,721,13
ST0036,东北经营单元036,东北,东北城市01,仓店一体,直播,2024-12-04,445,23
ST0037,华东经营单元037,华东,华东城市02,仓店一体,电商,2022-05-04,1006,43
ST0038,华北经营单元038,华北,华北城市03,旗舰店,企业采购,2024-05-26,928,38
ST0039,华南经营单元039,华南,华南城市04,仓店一体,直播,2024-10-21,706,10
ST0040,华中经营单元040,华中,华中城市05,仓店一体,电商,2021-04-19,1054,43
ST0041,西南经营单元041,西南,西南城市06,标准店,企业采购,2024-02-21,606,25
ST0042,东北经营单元042,东北,东北城市07,社区店,门店,2023-07-30,295,11
ST0043,华东经营单元043,华东,华东城市08,仓店一体,企业采购,2024-10-23,448,26
ST0044,华北经营单元044,华北,华北城市09,旗舰店,电商,2023-10-24,804,13
ST0045,华南经营单元045,华南,华南城市10,仓店一体,企业采购,2024-08-02,85,48
ST0046,华中经营单元046,华中,华中城市11,旗舰店,企业采购,2022-03-31,974,40
ST0047,西南经营单元047,西南,西南城市12,标准店,直播,2024-06-25,958,13
ST0048,东北经营单元048,东北,东北城市01,仓店一体,经销商,2023-09-04,223,44
ST0049,华东经营单元049,华东,华东城市02,仓店一体,电商,2025-01-11,451,20
ST0050,华北经营单元050,华北,华北城市03,社区店,直播,2023-12-08,690,34
ST0051,华南经营单元051,华南,华南城市04,社区店,门店,2023-08-17,704,17
ST0052,华中经营单元052,华中,华中城市05,社区店,直播,2024-11-01,506,29
ST0053,西南经营单元053,西南,西南城市06,标准店,门店,2021-12-28,867,44
ST0054,东北经营单元054,东北,东北城市07,旗舰店,经销商,2021-08-19,460,16
ST0055,华东经营单元055,华东,华东城市08,仓店一体,经销商,2023-04-06,648,29
ST0056,华北经营单元056,华北,华北城市09,社区店,企业采购,2024-04-20,698,40
ST0057,华南经营单元057,华南,华南城市10,仓店一体,电商,2023-01-31,857,47
ST0058,华中经营单元058,华中,华中城市11,仓店一体,经销商,2022-07-07,858,27
ST0059,西南经营单元059,西南,西南城市12,标准店,企业采购,2024-11-07,1030,15
ST0060,东北经营单元060,东北,东北城市01,标准店,企业采购,2022-12-27,471,45
ST0061,华东经营单元061,华东,华东城市02,社区店,门店,2021-09-09,849,24
ST0062,华北经营单元062,华北,华北城市03,旗舰店,直播,2024-11-12,740,45
ST0063,华南经营单元063,华南,华南城市04,仓店一体,经销商,2023-01-22,722,14
ST0064,华中经营单元064,华中,华中城市05,标准店,经销商,2021-08-16,433,31
ST0065,西南经营单元065,西南,西南城市06,仓店一体,经销商,2022-09-10,614,31
ST0066,东北经营单元066,东北,东北城市07,标准店,直播,2021-04-09,106,27
ST0067,华东经营单元067,华东,华东城市08,社区店,门店,2024-11-30,912,35
ST0068,华北经营单元068,华北,华北城市09,社区店,经销商,2022-05-16,718,9
ST0069,华南经营单元069,华南,华南城市10,社区店,电商,2023-04-21,843,23
ST0070,华中经营单元070,华中,华中城市11,仓店一体,直播,2021-03-29,1188,9
ST0071,西南经营单元071,西南,西南城市12,旗舰店,经销商,2024-12-17,816,31
ST0072,东北经营单元072,东北,东北城市01,社区店,门店,2021-02-19,1004,30
ST0073,华东经营单元073,华东,华东城市02,标准店,企业采购,2022-04-02,651,28
ST0074,华北经营单元074,华北,华北城市03,旗舰店,经销商,2022-07-07,667,5
ST0075,华南经营单元075,华南,华南城市04,旗舰店,直播,2021-08-06,278,7
ST0076,华中经营单元076,华中,华中城市05,旗舰店,企业采购,2024-03-06,1187,37
ST0077,西南经营单元077,西南,西南城市06,仓店一体,门店,2021-07-21,869,31
ST0078,东北经营单元078,东北,东北城市07,社区店,电商,2022-05-01,379,29
ST0079,华东经营单元079,华东,华东城市08,仓店一体,直播,2021-08-11,257,45
ST0080,华北经营单元080,华北,华北城市09,标准店,直播,2024-07-04,522,7
ST0081,华南经营单元081,华南,华南城市10,仓店一体,直播,2022-11-15,349,33
ST0082,华中经营单元082,华中,华中城市11,社区店,门店,2021-01-04,906,8
ST0083,西南经营单元083,西南,西南城市12,旗舰店,经销商,2024-05-29,405,31
ST0084,东北经营单元084,东北,东北城市01,标准店,电商,2024-11-15,788,15
ST0085,华东经营单元085,华东,华东城市02,旗舰店,电商,2021-12-06,804,32
ST0086,华北经营单元086,华北,华北城市03,仓店一体,直播,2023-03-12,288,41
ST0087,华南经营单元087,华南,华南城市04,标准店,企业采购,2023-07-11,723,14
ST0088,华中经营单元088,华中,华中城市05,标准店,门店,2024-08-23,553,43
ST0089,西南经营单元089,西南,西南城市06,社区店,经销商,2022-09-17,872,48
ST0090,东北经营单元090,东北,东北城市07,仓店一体,门店,2022-12-07,1069,6
ST0091,华东经营单元091,华东,华东城市08,社区店,企业采购,2024-01-19,685,35
ST0092,华北经营单元092,华北,华北城市09,旗舰店,直播,2023-05-05,676,33
ST0093,华南经营单元093,华南,华南城市10,仓店一体,经销商,2023-09-07,589,26
ST0094,华中经营单元094,华中,华中城市11,标准店,企业采购,2021-03-12,1155,35
ST0095,西南经营单元095,西南,西南城市12,社区店,直播,2022-04-13,88,17
ST0096,东北经营单元096,东北,东北城市01,标准店,企业采购,2023-10-05,1165,6
ST0097,华东经营单元097,华东,华东城市02,仓店一体,直播,2021-08-14,472,36
ST0098,华北经营单元098,华北,华北城市03,标准店,企业采购,2024-02-04,764,8
ST0099,华南经营单元099,华南,华南城市04,旗舰店,门店,2021-05-10,620,35
ST0100,华中经营单元100,华中,华中城市05,仓店一体,直播,2023-01-30,871,23
ST0101,西南经营单元101,西南,西南城市06,标准店,电商,2021-02-17,751,5
ST0102,东北经营单元102,东北,东北城市07,社区店,企业采购,2024-10-10,1148,37
ST0103,华东经营单元103,华东,华东城市08,社区店,企业采购,2022-03-07,1144,36
ST0104,华北经营单元104,华北,华北城市09,社区店,企业采购,2024-12-10,220,9
ST0105,华南经营单元105,华南,华南城市10,社区店,企业采购,2023-03-19,593,5
ST0106,华中经营单元106,华中,华中城市11,旗舰店,企业采购,2025-01-30,1133,27
ST0107,西南经营单元107,西南,西南城市12,社区店,企业采购,2024-11-29,446,12
ST0108,东北经营单元108,东北,东北城市01,社区店,门店,2024-03-25,928,47
ST0109,华东经营单元109,华东,华东城市02,旗舰店,直播,2021-08-14,938,15
ST0110,华北经营单元110,华北,华北城市03,社区店,门店,2024-07-22,1162,32
ST0111,华南经营单元111,华南,华南城市04,旗舰店,经销商,2022-07-05,1026,28
ST0112,华中经营单元112,华中,华中城市05,旗舰店,直播,2021-07-11,201,22
ST0113,西南经营单元113,西南,西南城市06,旗舰店,门店,2022-07-10,507,27
ST0114,东北经营单元114,东北,东北城市07,社区店,门店,2021-04-28,303,43
ST0115,华东经营单元115,华东,华东城市08,社区店,门店,2024-02-28,170,32
ST0116,华北经营单元116,华北,华北城市09,社区店,经销商,2022-06-13,1083,11
ST0117,华南经营单元117,华南,华南城市10,标准店,门店,2024-11-02,551,19
ST0118,华中经营单元118,华中,华中城市11,社区店,直播,2021-06-02,248,23
ST0119,西南经营单元119,西南,西南城市12,社区店,企业采购,2024-08-03,1175,12
ST0120,东北经营单元120,东北,东北城市01,旗舰店,电商,2024-01-10,972,7
