campaign_id,month,region,channel,campaign_theme,spend,impressions,clicks,leads,attributed_orders,target_roi
MKT00001,2025-08,华东,直播,清仓转化,114756.15,1107567,28316,7195,2401,2.5
MKT00002,2025-08,华东,电商,清仓转化,203382.58,1740364,83811,17826,6336,2.5
MKT00003,2025-08,华东,门店,新品首发,81590.18,936801,29078,6211,1543,3.5
MKT00004,2025-08,华东,经销商,会员增长,151331.48,1320803,47649,7718,1565,2.5
MKT00005,2025-08,华东,企业采购,内容种草,142614.11,1621651,45417,7885,1668,2.5
MKT00006,2025-08,华北,直播,内容种草,95242.09,883779,26393,3571,999,3.0
MKT00007,2025-08,华北,电商,新品首发,135767.62,1253014,51434,8471,2171,2.5
MKT00008,2025-08,华北,门店,会员增长,128101.59,1491002,63654,11962,2235,3.5
MKT00009,2025-08,华北,经销商,节日大促,68451.91,871554,36921,8198,1567,4.0
MKT00010,2025-08,华北,企业采购,清仓转化,185340.23,2489801,99428,20761,6752,4.0
MKT00011,2025-08,华南,直播,会员增长,114383.29,1108268,67652,16250,4912,3.0
MKT00012,2025-08,华南,电商,清仓转化,197024.29,1921154,112736,20636,5959,2.5
MKT00013,2025-08,华南,门店,内容种草,196833.12,1819445,51698,12798,4741,4.0
MKT00014,2025-08,华南,经销商,节日大促,219607.61,2230037,88867,22915,5289,2.5
MKT00015,2025-08,华南,企业采购,新品首发,119313.95,1152893,50103,12941,2506,2.5
MKT00016,2025-08,华中,直播,清仓转化,143629.93,1626388,70430,16421,3088,3.0
MKT00017,2025-08,华中,电商,会员增长,125088.64,1561876,49866,9941,2463,3.5
MKT00018,2025-08,华中,门店,内容种草,208891.75,1952903,70015,15703,4812,3.0
MKT00019,2025-08,华中,经销商,清仓转化,68494.18,622269,19136,5225,1907,2.5
MKT00020,2025-08,华中,企业采购,清仓转化,106203.61,1082552,38583,8276,2309,3.5
MKT00021,2025-08,西南,直播,节日大促,219938.24,2018350,128641,30295,9361,3.0
MKT00022,2025-08,西南,电商,清仓转化,177025.24,2208977,125119,18372,3328,3.0
MKT00023,2025-08,西南,门店,节日大促,91388.97,1067048,68826,12066,2942,2.5
MKT00024,2025-08,西南,经销商,节日大促,66136.9,745354,44781,7968,1921,3.0
MKT00025,2025-08,西南,企业采购,内容种草,127882.93,1217110,49669,7560,1602,3.5
MKT00026,2025-08,东北,直播,内容种草,118633.19,1412854,80646,11654,2351,4.0
MKT00027,2025-08,东北,电商,内容种草,167372.6,1506326,83648,14972,4766,4.0
MKT00028,2025-08,东北,门店,节日大促,106224.03,1255642,33386,5342,1853,2.5
MKT00029,2025-08,东北,经销商,节日大促,94264.25,1179711,46672,7041,1691,2.5
MKT00030,2025-08,东北,企业采购,会员增长,133421.72,1160101,41684,9200,2169,3.0
MKT00031,2025-09,华东,直播,清仓转化,170288.16,1495372,43710,5725,1615,4.0
MKT00032,2025-09,华东,电商,会员增长,149122.65,1394693,44222,10373,3415,2.5
MKT00033,2025-09,华东,门店,新品首发,71634.98,689933,22763,5173,1879,3.5
MKT00034,2025-09,华东,经销商,清仓转化,170789.18,1532807,61128,14186,3517,4.0
MKT00035,2025-09,华东,企业采购,会员增长,219198.75,2680387,152692,22160,7847,3.0
MKT00036,2025-09,华北,直播,清仓转化,171515.47,2180430,76544,17386,5606,4.0
MKT00037,2025-09,华北,电商,新品首发,112052.06,1031327,52444,11226,4001,4.0
MKT00038,2025-09,华北,门店,节日大促,151000.9,1992832,103947,27031,7703,2.5
MKT00039,2025-09,华北,经销商,新品首发,112938.86,1251644,80013,21889,8241,3.5
MKT00040,2025-09,华北,企业采购,节日大促,112950.43,1215007,69131,17374,4952,2.5
MKT00041,2025-09,华南,直播,新品首发,186642.49,2289734,111140,26808,7095,4.0
MKT00042,2025-09,华南,电商,节日大促,104052.13,1332784,72813,18663,5816,4.0
MKT00043,2025-09,华南,门店,清仓转化,109928.88,1402519,50499,12098,4505,3.0
MKT00044,2025-09,华南,经销商,内容种草,122615.91,1533576,40156,11145,3828,4.0
MKT00045,2025-09,华南,企业采购,内容种草,118739.64,1227537,71234,14943,3026,3.5
MKT00046,2025-09,华中,直播,新品首发,173221.23,1510812,94757,21883,4824,4.0
MKT00047,2025-09,华中,电商,节日大促,94820.49,1246452,68258,17424,3625,3.5
MKT00048,2025-09,华中,门店,清仓转化,86281.62,779476,23914,3959,809,4.0
MKT00049,2025-09,华中,经销商,清仓转化,93789.18,1131272,65334,14915,5377,2.5
MKT00050,2025-09,华中,企业采购,会员增长,188524.25,1959075,109670,15246,4289,2.5
MKT00051,2025-09,西南,直播,节日大促,149591.62,1741439,90432,23414,8417,2.5
MKT00052,2025-09,西南,电商,节日大促,197584.92,2499941,80855,20006,5324,4.0
MKT00053,2025-09,西南,门店,清仓转化,175004.96,2033526,120541,19693,3559,2.5
MKT00054,2025-09,西南,经销商,内容种草,86431.34,735127,40563,9540,2606,4.0
MKT00055,2025-09,西南,企业采购,节日大促,200647.52,2261796,66919,18543,4332,3.5
MKT00056,2025-09,东北,直播,新品首发,117705.34,1491330,71948,11948,3677,4.0
MKT00057,2025-09,东北,电商,节日大促,96537.91,1012656,45442,7015,1743,2.5
MKT00058,2025-09,东北,门店,内容种草,142278.43,1248151,70094,14393,2805,2.5
MKT00059,2025-09,东北,经销商,新品首发,163450.92,2084196,104917,19558,6169,3.0
MKT00060,2025-09,东北,企业采购,新品首发,100845.58,1100064,65119,18206,3525,4.0
MKT00061,2025-10,华东,直播,内容种草,134466.14,1145473,44188,10290,3928,3.0
MKT00062,2025-10,华东,电商,节日大促,103424.01,1336191,36063,8333,3286,3.0
MKT00063,2025-10,华东,门店,会员增长,66213.33,705236,33470,7558,1389,4.0
MKT00064,2025-10,华东,经销商,会员增长,152504.55,1547850,94535,16396,6091,3.5
MKT00065,2025-10,华东,企业采购,会员增长,81665.06,997370,49870,12720,2850,3.0
MKT00066,2025-10,华北,直播,新品首发,202197.33,1918803,78064,18196,6296,4.0
MKT00067,2025-10,华北,电商,节日大促,87024.31,776327,29758,6612,1714,2.5
MKT00068,2025-10,华北,门店,新品首发,81581.68,760363,49384,8305,1540,4.0
MKT00069,2025-10,华北,经销商,清仓转化,76361.96,1012121,43392,6213,1851,4.0
MKT00070,2025-10,华北,企业采购,会员增长,108249.35,1203644,58809,8208,1597,2.5
MKT00071,2025-10,华南,直播,内容种草,209459.42,2044970,101991,17046,3711,3.0
MKT00072,2025-10,华南,电商,清仓转化,211749.42,2655020,131088,19687,4439,2.5
MKT00073,2025-10,华南,门店,节日大促,213086.11,1925616,80848,11262,2151,3.5
MKT00074,2025-10,华南,经销商,内容种草,200574.48,2527803,105411,18420,4560,4.0
MKT00075,2025-10,华南,企业采购,节日大促,187694.25,1821941,86338,14697,3099,2.5
MKT00076,2025-10,华中,直播,节日大促,142088.33,1392798,87196,24295,7043,4.0
MKT00077,2025-10,华中,电商,新品首发,117041.98,1570475,81336,20955,5067,3.5
MKT00078,2025-10,华中,门店,内容种草,115275.53,1479553,91296,14173,4143,4.0
MKT00079,2025-10,华中,经销商,节日大促,194141.4,1844521,118379,20480,4723,2.5
MKT00080,2025-10,华中,企业采购,清仓转化,175460.47,2273757,85003,14069,3890,3.0
MKT00081,2025-10,西南,直播,会员增长,144754.72,1411148,87689,11049,3338,4.0
MKT00082,2025-10,西南,电商,清仓转化,197315.53,2031705,52604,13953,3668,2.5
MKT00083,2025-10,西南,门店,节日大促,108547.5,1095352,37121,10357,2187,3.0
MKT00084,2025-10,西南,经销商,内容种草,157091.41,2055912,71799,15493,2989,3.0
MKT00085,2025-10,西南,企业采购,清仓转化,217331.53,2238298,137598,18509,3739,3.0
MKT00086,2025-10,东北,直播,新品首发,87695.83,939488,58394,11349,3434,3.5
MKT00087,2025-10,东北,电商,清仓转化,108718.81,954535,47602,10427,2368,3.5
MKT00088,2025-10,东北,门店,新品首发,84734.93,777575,50379,11540,2921,2.5
MKT00089,2025-10,东北,经销商,内容种草,124257.49,1297325,80267,13162,2423,3.0
MKT00090,2025-10,东北,企业采购,清仓转化,131843.4,1677660,43800,8218,2279,3.5
MKT00091,2025-11,华东,直播,节日大促,66992.46,785606,48074,13098,3543,3.5
MKT00092,2025-11,华东,电商,节日大促,219650.07,2315753,112709,19580,5802,3.5
MKT00093,2025-11,华东,门店,清仓转化,119525.87,1515787,90444,19190,4800,4.0
MKT00094,2025-11,华东,经销商,内容种草,73160.4,765564,47932,6617,2677,2.5
MKT00095,2025-11,华东,企业采购,清仓转化,194471.15,2241821,96286,19203,5763,2.5
MKT00096,2025-11,华北,直播,会员增长,106536.81,1239662,78258,20581,8480,4.0
MKT00097,2025-11,华北,电商,节日大促,115730.28,1484662,88891,23063,6484,3.0
MKT00098,2025-11,华北,门店,会员增长,116085.82,1275346,72735,12695,3881,2.5
MKT00099,2025-11,华北,经销商,内容种草,161876.86,1735004,97604,23580,6664,4.0
MKT00100,2025-11,华北,企业采购,新品首发,186395.91,2437592,125299,19707,5659,3.5
MKT00101,2025-11,华南,直播,内容种草,140661.8,1789336,57063,10809,3576,3.0
MKT00102,2025-11,华南,电商,清仓转化,122838.1,1095383,62136,13907,2966,4.0
MKT00103,2025-11,华南,门店,节日大促,112400.97,1490265,61859,10608,4371,3.5
MKT00104,2025-11,华南,经销商,清仓转化,112300.27,1095747,31451,4257,846,2.5
MKT00105,2025-11,华南,企业采购,节日大促,148443.58,1331003,45885,7086,2237,3.0
MKT00106,2025-11,华中,直播,节日大促,135776.95,1764289,54373,11974,3934,3.5
MKT00107,2025-11,华中,电商,内容种草,172041.59,2316042,123933,18102,5188,3.0
MKT00108,2025-11,华中,门店,内容种草,93913.43,908925,41048,11385,3741,3.0
MKT00109,2025-11,华中,经销商,会员增长,211906.12,2150014,97897,15143,4373,3.5
MKT00110,2025-11,华中,企业采购,清仓转化,203221.16,2492772,139743,19911,5796,4.0
MKT00111,2025-11,西南,直播,内容种草,182029.02,2378961,140513,28727,10076,3.0
MKT00112,2025-11,西南,电商,节日大促,143778.49,1521137,96423,23724,5391,3.0
MKT00113,2025-11,西南,门店,节日大促,96073.69,1226179,49896,13075,3772,4.0
MKT00114,2025-11,西南,经销商,会员增长,172915.86,2083537,102508,17233,3128,4.0
MKT00115,2025-11,西南,企业采购,节日大促,127301.72,1681739,70530,13718,5665,4.0
MKT00116,2025-11,东北,直播,清仓转化,202722.08,2234931,133055,29242,11747,2.5
MKT00117,2025-11,东北,电商,新品首发,195390.33,1943759,63684,10677,3323,3.5
MKT00118,2025-11,东北,门店,会员增长,192858.11,2019596,65909,13907,4274,4.0
MKT00119,2025-11,东北,经销商,清仓转化,153056.31,1600038,52413,9377,3133,3.5
MKT00120,2025-11,东北,企业采购,节日大促,73716.16,924068,50477,13486,3007,3.5
MKT00121,2025-12,华东,直播,会员增长,96388.95,997893,47061,12283,2813,2.5
MKT00122,2025-12,华东,电商,会员增长,101380.87,1313026,75423,20763,3922,3.5
MKT00123,2025-12,华东,门店,清仓转化,106586.04,1242759,52657,9279,2244,2.5
MKT00124,2025-12,华东,经销商,新品首发,199609.52,2312614,129603,22517,5485,4.0
MKT00125,2025-12,华东,企业采购,清仓转化,162370.48,2117869,61175,9736,4066,3.5
MKT00126,2025-12,华北,直播,清仓转化,162571.76,2134773,118317,29544,7786,4.0
MKT00127,2025-12,华北,电商,内容种草,134974.23,1330718,34353,4845,1709,3.5
MKT00128,2025-12,华北,门店,新品首发,135740.19,1295512,54508,15035,3927,3.5
MKT00129,2025-12,华北,经销商,会员增长,140710.97,1650422,85033,12461,4386,4.0
MKT00130,2025-12,华北,企业采购,新品首发,99023.29,1189208,62177,11661,4224,3.0
MKT00131,2025-12,华南,直播,内容种草,72697.84,805059,30439,7686,2068,3.5
MKT00132,2025-12,华南,电商,会员增长,115499.89,1008702,59720,14957,3672,2.5
MKT00133,2025-12,华南,门店,内容种草,214340.36,1932347,107537,26432,7508,2.5
MKT00134,2025-12,华南,经销商,会员增长,219318.14,1875949,89963,14477,5909,3.5
MKT00135,2025-12,华南,企业采购,节日大促,119129.15,1606809,99188,17154,3582,3.5
MKT00136,2025-12,华中,直播,新品首发,190362.38,1985893,100659,17453,5940,3.5
MKT00137,2025-12,华中,电商,会员增长,193712.71,2337256,146299,26151,5847,4.0
MKT00138,2025-12,华中,门店,清仓转化,86937.85,833463,33168,7640,2613,4.0
MKT00139,2025-12,华中,经销商,节日大促,212854.71,2676923,147771,33645,13420,2.5
MKT00140,2025-12,华中,企业采购,清仓转化,117951.8,1335970,52688,6361,2553,3.5
MKT00141,2025-12,西南,直播,节日大促,66558.97,576565,16883,4405,1538,2.5
MKT00142,2025-12,西南,电商,新品首发,133766.02,1162856,43924,5339,1491,4.0
MKT00143,2025-12,西南,门店,新品首发,126802.01,1242905,54065,11360,3756,3.5
MKT00144,2025-12,西南,经销商,清仓转化,100235.63,1292273,35525,7163,2452,3.5
