return_id,order_id,return_date,returned_quantity,return_reason,refund_amount,responsibility,is_resalable
RT0000001,O00000018,2025-09-19,1,商品破损,1032.58,物流,是
RT0000002,O00000038,2025-10-31,1,无理由退货,594.16,商品/运营,是
RT0000003,O00000052,2025-10-23,1,尺寸/适配问题,2630.44,商品/运营,是
RT0000004,O00000061,2026-04-03,5,物流延迟,2319.64,物流,是
RT0000005,O00000071,2025-11-20,4,物流延迟,2962.71,物流,否
RT0000006,O00000089,2026-06-22,2,尺寸/适配问题,329.99,商品/运营,是
RT0000007,O00000101,2025-11-24,1,尺寸/适配问题,736.2,商品/运营,是
RT0000008,O00000128,2026-06-03,2,物流延迟,1678.87,物流,是
RT0000009,O00000133,2026-07-20,3,商品破损,2052.83,物流,是
RT0000010,O00000158,2026-04-15,1,尺寸/适配问题,778.19,商品/运营,否
RT0000011,O00000173,2026-07-15,1,质量问题,1322.78,商品/运营,否
RT0000012,O00000180,2026-04-19,1,尺寸/适配问题,785.12,商品/运营,否
RT0000013,O00000182,2026-03-13,1,描述不符,1030.66,商品/运营,是
RT0000014,O00000201,2026-07-04,3,尺寸/适配问题,2806.04,商品/运营,否
RT0000015,O00000212,2026-05-30,3,质量问题,2309.28,商品/运营,否
RT0000016,O00000221,2025-08-17,4,商品破损,3006.18,物流,是
RT0000017,O00000249,2025-11-16,1,物流延迟,1333.12,物流,是
RT0000018,O00000253,2026-04-02,2,无理由退货,4573.36,商品/运营,否
RT0000019,O00000273,2025-11-08,1,无理由退货,2589.62,商品/运营,是
RT0000020,O00000274,2025-11-13,3,质量问题,590.35,商品/运营,否
RT0000021,O00000283,2025-12-14,1,无理由退货,510.79,商品/运营,是
RT0000022,O00000301,2025-10-24,3,物流延迟,1077.77,物流,是
RT0000023,O00000309,2026-02-26,1,商品破损,262.57,物流,否
RT0000024,O00000312,2025-12-11,2,描述不符,1425.85,商品/运营,是
RT0000025,O00000324,2025-12-22,1,无理由退货,1118.48,商品/运营,是
RT0000026,O00000354,2026-03-10,2,无理由退货,1800.76,商品/运营,是
RT0000027,O00000365,2026-08-06,2,质量问题,739.16,商品/运营,否
RT0000028,O00000402,2026-05-23,1,无理由退货,1060.06,商品/运营,否
RT0000029,O00000403,2026-02-08,2,描述不符,566.62,商品/运营,否
RT0000030,O00000408,2026-06-27,1,质量问题,125.69,商品/运营,是
RT0000031,O00000412,2026-05-12,2,商品破损,751.42,物流,否
RT0000032,O00000423,2025-12-21,1,物流延迟,272.19,物流,是
RT0000033,O00000430,2026-06-15,3,质量问题,5345.14,商品/运营,是
RT0000034,O00000434,2025-10-23,2,无理由退货,4283.23,商品/运营,否
RT0000035,O00000447,2026-07-11,1,物流延迟,1833.05,物流,是
RT0000036,O00000470,2025-09-23,1,质量问题,961.72,商品/运营,是
RT0000037,O00000477,2025-10-10,1,质量问题,1439.92,商品/运营,是
RT0000038,O00000492,2025-12-12,3,质量问题,6275.09,商品/运营,是
