shipment_id,order_id,warehouse_id,carrier,ship_date,promised_days,actual_delivery_days,delay_days,shipping_cost,delivery_status
SH00000001,O00000001,W04,京速,2025-11-17,3,1,0,20.99,按时
SH00000002,O00000002,W05,迅联,2026-04-16,2,2,0,19.13,按时
SH00000003,O00000003,W05,顺达,2025-11-20,4,1,0,11.32,按时
SH00000004,O00000004,W06,顺达,2026-01-17,4,2,0,33.48,按时
SH00000005,O00000005,W06,迅联,2025-11-10,4,6,2,30.93,延迟
SH00000006,O00000006,W03,顺达,2026-03-20,2,3,1,13.43,延迟
SH00000007,O00000007,W04,云仓配,2025-12-19,4,2,0,16.36,按时
SH00000008,O00000008,W05,城际专线,2025-10-15,2,3,1,34.4,延迟
SH00000009,O00000009,W01,迅联,2026-04-29,3,3,0,28.72,按时
SH00000010,O00000010,W06,顺达,2025-09-23,4,3,0,12.5,按时
SH00000011,O00000011,W03,云仓配,2025-12-12,3,4,1,19.4,延迟
SH00000012,O00000012,W04,京速,2025-12-30,4,3,0,14.07,按时
SH00000013,O00000013,W05,京速,2026-05-23,3,2,0,23.81,按时
SH00000014,O00000014,W06,顺达,2025-11-30,4,4,0,19.79,按时
SH00000015,O00000015,W06,迅联,2026-06-29,2,3,1,15.21,延迟
SH00000016,O00000016,W01,城际专线,2025-12-06,4,3,0,26.99,按时
SH00000017,O00000017,W01,迅联,2025-12-02,4,4,0,34.55,按时
SH00000018,O00000018,W06,迅联,2025-09-04,2,6,4,20.21,延迟
SH00000019,O00000019,W01,城际专线,2026-05-31,3,1,0,29.34,按时
SH00000020,O00000020,W03,顺达,2025-12-09,2,4,2,26.62,延迟
SH00000021,O00000021,W04,顺达,2026-02-11,3,2,0,36.03,按时
SH00000022,O00000022,W05,迅联,2026-06-26,2,5,3,18.9,延迟
SH00000023,O00000023,W03,迅联,2026-07-18,2,2,0,22.37,按时
SH00000024,O00000024,W02,京速,2025-12-06,2,3,1,24.02,延迟
SH00000025,O00000025,W02,云仓配,2026-01-17,3,3,0,16.95,按时
SH00000026,O00000026,W05,迅联,2026-01-15,3,2,0,24.92,按时
SH00000027,O00000027,W04,云仓配,2026-03-05,2,4,2,36.65,延迟
SH00000028,O00000028,W04,顺达,2026-01-20,2,3,1,14.98,延迟
SH00000029,O00000029,W03,城际专线,2026-01-25,3,7,4,32.95,延迟
SH00000030,O00000030,W01,迅联,2026-06-06,3,3,0,42.29,按时
SH00000031,O00000031,W01,顺达,2025-12-19,4,7,3,22.93,延迟
SH00000032,O00000032,W02,京速,2025-09-16,4,1,0,39.83,按时
SH00000033,O00000033,W02,云仓配,2025-11-22,2,3,1,12.42,延迟
SH00000034,O00000034,W03,城际专线,2026-01-27,2,1,0,30.76,按时
SH00000035,O00000035,W02,云仓配,2026-07-13,2,3,1,38.28,延迟
SH00000036,O00000036,W05,云仓配,2025-11-09,4,5,1,40.45,延迟
SH00000037,O00000037,W04,顺达,2025-12-29,4,2,0,38.0,按时
SH00000038,O00000038,W01,迅联,2025-10-25,2,3,1,21.06,延迟
SH00000039,O00000039,W05,云仓配,2026-04-08,3,3,0,20.75,按时
SH00000040,O00000040,W02,云仓配,2026-06-06,2,2,0,36.59,按时
SH00000041,O00000041,W03,云仓配,2026-01-17,2,3,1,18.36,延迟
SH00000042,O00000042,W04,京速,2026-05-01,4,2,0,21.89,按时
SH00000043,O00000043,W04,云仓配,2026-06-28,2,3,1,24.41,延迟
SH00000044,O00000044,W03,京速,2025-11-07,3,7,4,34.31,延迟
SH00000045,O00000045,W01,城际专线,2026-03-16,2,3,1,14.7,延迟
SH00000046,O00000046,W03,城际专线,2025-11-26,2,7,5,30.01,延迟
SH00000047,O00000047,W04,顺达,2025-10-06,4,5,1,31.16,延迟
SH00000048,O00000048,W04,云仓配,2026-05-22,3,4,1,12.64,延迟
SH00000049,O00000049,W01,顺达,2026-04-04,3,3,0,33.15,按时
SH00000050,O00000050,W04,城际专线,2025-12-14,4,2,0,17.44,按时
SH00000051,O00000051,W01,城际专线,2026-03-26,4,2,0,13.46,按时
SH00000052,O00000052,W03,顺达,2025-10-15,3,4,1,15.9,延迟
