ticket_id,customer_id,order_id,created_date,ticket_category,contact_channel,priority,resolution_hours,first_contact_resolved,satisfaction_score
TK0000001,C001317,O00000008,2025-10-21,促销规则,电话,中,6.73,是,5
TK0000002,C002459,O00000021,2026-02-12,安装使用,在线客服,紧急,15.2,否,4
TK0000003,C002509,O00000036,2025-11-14,物流咨询,在线客服,低,14.92,否,4
TK0000004,C000257,O00000046,2025-12-02,物流咨询,社交媒体,中,24.28,否,2
TK0000005,C001668,O00000075,2025-11-13,商品质量,社交媒体,中,33.27,否,2
TK0000006,C000257,O00000080,2026-03-30,物流咨询,在线客服,中,35.22,否,3
TK0000007,C000656,O00000085,2026-05-31,退换货,在线客服,紧急,19.13,否,5
TK0000008,C000529,O00000094,2025-09-08,安装使用,在线客服,低,34.64,否,3
TK0000009,C002191,O00000104,2026-01-13,物流咨询,门店,高,8.21,否,5
TK0000010,C004788,O00000113,2025-12-13,物流咨询,门店,中,28.06,否,2
TK0000011,C003887,O00000129,2025-11-04,物流咨询,在线客服,中,30.41,否,4
TK0000012,C001999,O00000134,2025-11-10,促销规则,电话,中,35.52,否,3
TK0000013,C004590,O00000137,2026-04-04,安装使用,电话,紧急,23.59,否,4
TK0000014,C002948,O00000153,2025-12-07,物流咨询,电话,中,10.94,否,4
TK0000015,C002594,O00000158,2026-04-12,物流咨询,门店,中,2.69,是,5
TK0000016,C001411,O00000167,2026-07-21,物流咨询,在线客服,中,30.7,否,3
TK0000017,C000288,O00000179,2026-04-03,商品质量,电话,中,25.6,否,2
TK0000018,C000035,O00000180,2026-04-12,退换货,社交媒体,中,25.96,否,3
TK0000019,C001410,O00000209,2025-09-14,促销规则,电话,高,29.12,否,3
TK0000020,C004973,O00000239,2026-05-01,商品质量,门店,低,9.57,否,4
TK0000021,C001581,O00000291,2025-09-17,促销规则,电话,中,11.92,否,5
TK0000022,C004729,O00000299,2026-07-09,物流咨询,社交媒体,低,28.81,否,2
TK0000023,C002234,O00000325,2026-05-03,退换货,在线客服,低,29.34,否,3
TK0000024,C000428,O00000334,2026-08-01,物流咨询,电话,低,27.53,否,3
TK0000025,C001469,O00000336,2025-12-26,商品质量,电话,紧急,7.11,是,4
TK0000026,C004513,O00000342,2026-01-12,物流咨询,在线客服,中,10.16,否,5
TK0000027,C002783,O00000353,2026-02-06,商品质量,电话,高,5.81,是,4
