month,region,channel,gmv,order_count,avg_order_value
2026-01,华东,线上,152000,1820,83.52
2026-01,华南,线上,121000,1470,82.31
2026-01,华北,门店,98000,1030,95.15
2026-02,华东,线上,149500,1760,84.94
2026-02,华南,门店,116200,1280,90.78
2026-02,华北,线上,101800,1110,91.71
2026-03,华东,门店,161200,1884,85.56
2026-03,华南,线上,128600,1532,83.94
2026-03,华北,门店,106900,1150,92.96
2026-04,华东,线上,158700,1850,85.78
2026-04,华南,线上,132100,1580,83.61
2026-04,华北,线上,110200,1214,90.77
2026-05,华东,门店,145300,1722,84.38
2026-05,华南,线上,139800,1651,84.68
2026-05,华北,门店,104500,1135,92.07
2026-06,华东,线上,132400,1608,82.34
2026-06,华南,门店,141600,1688,83.89
2026-06,华北,线上,99700,1099,90.72
